,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Training Time,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
0,0.8345986404098881,0.8937111238212441,0.7561404008182535,1.0127639606216607,2.222952696729932,0 days 00:03:02.399346,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
0,1.0074130922173168,1.0275083689493012,0.952462366631189,1.0974344338834192,2.384378491932681,0 days 00:03:19.190455,matern32_rbf_intra_sin,lfbgs,1,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.69000000e+02  1.60287727e+00  5.57938517e-01  5.76722100e-01
   1.84496360e-01 -1.00000000e+00]
 [ 1.81000000e+02 -9.89762240e-01  2.01716872e-01  6.03088881e-01
  -3.88735695e-01  1.00000000e+00]
 [ 1.59000000e+02 -1.63792212e+00 -1.32759174e-01  4.51911691e-01
  -6.15705922e-01  1.00000000e+00]
 ...
 [ 2.29000000e+02  4.24404767e-01 -1.16241915e+00  6.72824976e-01
  -7.85342315e-01  1.00000000e+00]
 [ 2.71000000e+02  1.66180090e+00  1.64016706e-01  9.89947984e-01
  -4.42181409e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66180090e+00 -1.50348933e-01 -1.02525505e+00
  -5.89294668e-02 -1.00000000e+00]]"
0,1.8725923100167532,,,1.8725923100167532,2.572060578644315,0 days 00:04:06.256121,matern32_rbf_intra_sin,lfbgs,2,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.47000000e+02  9.52424223e-01  6.11163694e-01 -6.30227427e-01
   5.69391008e-01  1.00000000e+00]
 [ 2.43000000e+02  8.34270685e-01 -9.00624102e-01  8.24129042e-01
  -9.67761496e-01 -1.00000000e+00]
 [ 2.10000000e+02 -1.40495999e-01 -1.30995293e+00  4.42479199e-01
  -8.45837256e-01 -1.00000000e+00]
 ...
 [ 1.96000000e+02 -5.54033381e-01  6.29059170e-01 -1.82779140e+00
   1.75145161e+00 -1.00000000e+00]
 [ 2.32000000e+02  5.09348457e-01  5.14574276e-01  6.85989008e-01
  -2.57454558e-01 -1.00000000e+00]
 [ 2.60000000e+02  1.33642322e+00 -9.00624102e-01  8.24129042e-01
  -9.67761496e-01 -1.00000000e+00]]"
0,1.3583022927603807,1.3536647637214654,1.3259732347512507,1.3808010594598652,2.638060073114998,0 days 00:04:04.177537,matern32_rbf_intra_sin,lfbgs,3,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.60000000e+02  1.34804615e+00 -1.22752806e+00  3.42029897e-01
  -8.64921550e-01  1.00000000e+00]
 [ 2.70000000e+02  1.64102442e+00  6.51338850e-01  6.91691087e-01
   9.64369121e-02  1.00000000e+00]
 [ 1.92000000e+02 -6.44206091e-01 -8.68211821e-01  8.26176180e-01
  -8.54717913e-01  1.00000000e+00]
 ...
 [ 2.55000000e+02  1.20155702e+00 -1.01084117e+00  7.73964326e-01
  -7.96651759e-01 -1.00000000e+00]
 [ 2.38000000e+02  7.03493956e-01 -4.09603616e-01 -6.66344497e-01
  -6.33064377e-01 -1.00000000e+00]
 [ 2.55000000e+02  1.20155702e+00  6.51338850e-01  6.91691087e-01
   9.64369121e-02 -1.00000000e+00]]"
0,1.1637504677045183,1.2515029145496954,1.1302565693277464,1.3619982297140616,2.2114306716813323,0 days 00:02:57.829183,matern32_rbf_intra_sin,lfbgs,4,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.25000000e+02  3.29692499e-01  1.57541124e-01 -1.43523781e+00
   9.71944114e-01  1.00000000e+00]
 [ 1.89000000e+02 -7.26590293e-01  3.49495999e+00  2.74821808e-01
   3.77722272e+00 -1.00000000e+00]
 [ 1.88000000e+02 -7.55931482e-01 -3.28026154e-01 -3.13068290e-01
  -4.61694186e-01  1.00000000e+00]
 ...
 [ 1.58000000e+02 -1.63616714e+00  1.02930580e-01  2.57907507e-01
  -4.71807873e-01  1.00000000e+00]
 [ 1.53000000e+02 -1.78287309e+00 -2.00035460e-01  1.20642433e+00
  -1.01456853e+00 -1.00000000e+00]
 [ 1.70000000e+02 -1.28407288e+00  1.93229285e-01  8.88679198e-01
  -4.37911040e-01  1.00000000e+00]]"
